frequency = 1498962292.904734 Hz; phi = 0 rad
theta(rad) Re(E_r) Im(E_r) Re(E_theta) Im(E_theta) Re(E_phi) Im(E_phi)
1.407937844752616e+00 3.390161203849182e-04 -9.522642444097354e-05 -1.675694395067000e-02 -1.529227353027534e-03 0.000000000000000e+00 0.000000000000000e+00
1.418444843594054e+00 3.485985140530307e-04 -1.628718950830588e-04 -1.597299527586152e-02 6.860218420544978e-04 0.000000000000000e+00 0.000000000000000e+00
1.428951842435491e+00 3.491929094408355e-04 -2.248687222642181e-04 -1.475074425011816e-02 2.942369083490774e-03 0.000000000000000e+00 0.000000000000000e+00
1.439458841276929e+00 3.404096478921620e-04 -2.793186012476906e-04 -1.313245866539754e-02 5.179965228745025e-03 0.000000000000000e+00 0.000000000000000e+00
1.449965840118366e+00 3.221278583229261e-04 -3.245625377562452e-04 -1.117227865131254e-02 7.337102349911690e-03 0.000000000000000e+00 0.000000000000000e+00
1.460472838959804e+00 2.945113183538774e-04 -3.592357001262334e-04 -8.934491511036985e-03 9.352026116100717e-03 0.000000000000000e+00 0.000000000000000e+00
1.470979837801241e+00 2.580151830481882e-04 -3.823127688332455e-04 -6.491476015396761e-03 1.116482570812138e-02 0.000000000000000e+00 0.000000000000000e+00
1.481486836642678e+00 2.133830207771874e-04 -3.931421970311701e-04 -3.921382631373709e-03 1.271933967813861e-02 0.000000000000000e+00 -0.000000000000000e+00
1.491993835484116e+00 1.616339315647562e-04 -3.914681664807766e-04 -1.305625324500704e-03 1.396501355876669e-02 0.000000000000000e+00 -0.000000000000000e+00
1.502500834325553e+00 1.040398753949736e-04 -3.774394381287241e-04 1.273732785074715e-03 1.485864465805554e-02 0.000000000000000e+00 -0.000000000000000e+00
1.513007833166991e+00 4.209369369077528e-05 -3.516047413779826e-04 3.736613757310392e-03 1.536595141353184e-02 0.000000000000000e+00 -0.000000000000000e+00
1.523514832008428e+00 -2.253134651031817e-05 -3.148948054032808e-04 6.007492037108694e-03 1.546290890090869e-02 0.000000000000000e+00 -0.000000000000000e+00
1.534021830849866e+00 -8.802933216084011e-05 -2.685915937502299e-04 8.017809401189060e-03 1.513679849887347e-02 0.000000000000000e+00 -0.000000000000000e+00
1.544528829691303e+00 -1.525153646399422e-04 -2.142857439364232e-04 9.708157413063209e-03 1.438692811637009e-02 0.000000000000000e+00 -0.000000000000000e+00
1.555035828532740e+00 -2.140834143462132e-04 -1.538236214349246e-04 1.103015479127398e-02 1.322498953351204e-02 0.000000000000000e+00 -0.000000000000000e+00
1.565542827374178e+00 -2.708664944848633e-04 -8.924575788425399e-05 1.194795722806646e-02 1.167503096448986e-02 0.000000000000000e+00 -0.000000000000000e+00
